Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,Complain,Response,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases
1948,PG,relationship,70666.0,06-12-2013,29,0,0,0,1076,0,16
1971,PG,relationship,25721.0,21-05-2013,75,0,1,1,34,0,5
1967,PG,relationship,32474.0,11-05-2014,0,0,0,2,11,0,4
1979,PG,Single,88194.0,19-03-2014,19,0,1,1,1274,2,32
1958,PG,relationship,69096.0,27-09-2013,4,0,0,1,653,0,18
1970,PG,relationship,74854.0,08-04-2013,90,0,0,3,1562,0,19
1954,PG,relationship,66991.0,11-09-2012,1,0,0,0,1253,0,21
1973,PG,relationship,52247.25135379061,14-09-2012,25,0,0,1,109,0,9
1959,PG,relationship,65031.0,17-03-2013,29,0,0,1,863,0,30
1975,PG,relationship,60631.0,05-04-2013,88,0,0,2,661,1,24
1952,PG,relationship,28332.0,30-04-2014,58,0,0,0,65,0,8
1977,PG,Single,40246.0,19-12-2012,68,0,0,1,13,0,4
1976,PG,relationship,26326.0,04-09-2013,12,1,0,0,18,0,4
1965,PG,relationship,56046.0,02-01-2013,9,0,1,0,692,1,21
1985,PG,Single,29760.0,29-08-2012,87,0,0,1,165,0,12
1969,PG,relationship,26304.0,23-06-2013,5,0,0,1,16,0,4
1973,PG,relationship,23559.0,03-07-2013,87,0,0,1,79,0,9
1963,PG,relationship,38620.0,11-05-2013,56,0,0,0,318,0,11
1987,PG,Single,81361.0,25-02-2014,18,0,0,0,778,0,27
1960,PG,relationship,29440.0,11-08-2013,95,0,0,2,56,0,7
1970,PG,relationship,36138.0,16-07-2013,48,0,0,2,151,1,13
1957,PG,Single,50388.0,28-05-2014,3,0,1,1,372,2,17
1973,PG,relationship,79593.0,12-05-2014,70,0,0,0,1366,1,19
1967,PG,relationship,54178.0,21-01-2014,79,0,0,1,194,0,10
1957,PG,relationship,52247.25135379061,19-11-2012,4,0,0,3,603,0,29
1957,PG,Single,52247.25135379061,27-05-2014,45,0,0,2,18,0,4
1973,PG,relationship,52247.25135379061,23-11-2013,87,0,0,0,985,0,15
1972,PG,Single,42394.0,23-03-2014,69,0,0,1,32,0,5
1970,PG,relationship,23626.0,24-05-2014,84,0,0,1,43,0,10
1983,PG,relationship,30096.0,22-05-2014,30,0,0,1,45,0,6
1960,PG,Single,47916.0,22-11-2012,72,0,0,1,606,1,22
1972,PG,Single,51813.0,11-04-2013,37,0,0,2,63,0,7
1951,PG,relationship,78497.0,01-12-2013,44,0,0,0,978,1,25
1983,PG,relationship,50150.0,20-06-2013,32,0,0,0,410,0,16
1960,PG,Single,47823.0,23-07-2013,0,0,0,1,72,0,7
1959,PG,Single,34554.0,30-03-2014,43,0,0,1,55,0,7
1979,PG,relationship,85693.0,20-04-2013,59,0,0,1,1169,0,27
1945,PG,relationship,65846.0,17-05-2013,68,0,0,0,1120,0,16
1959,PG,relationship,87195.0,08-05-2014,35,0,1,0,1097,0,20
1979,UG,relationship,24594.0,10-12-2013,94,0,0,1,29,0,5
1964,PG,relationship,49096.0,24-09-2013,15,0,0,2,187,0,13
1969,PG,relationship,52413.0,02-02-2013,56,0,0,2,910,0,26
1978,PG,Single,38557.0,19-12-2012,17,0,0,1,145,0,9
1960,PG,relationship,89058.0,07-12-2012,18,0,0,0,850,0,14
1979,PG,relationship,77298.0,02-11-2013,46,0,0,1,969,0,24
1963,PG,relationship,57288.0,25-06-2014,27,0,0,1,608,1,20
1991,PG,Single,86037.0,02-01-2013,95,0,1,0,730,2,25
1980,PG,relationship,43974.0,12-12-2012,19,0,0,1,551,0,21
1962,PG,Single,50785.0,10-09-2013,27,0,0,2,114,0,8
1978,PG,relationship,36550.0,19-02-2013,74,0,0,1,577,0,20
1967,PG,relationship,30753.0,11-07-2013,85,0,0,2,81,0,7
1969,PG,relationship,21918.0,14-11-2013,37,0,0,1,33,0,7
1953,PG,relationship,56129.0,20-06-2013,65,0,0,1,660,0,22
1967,PG,Single,32557.0,24-02-2014,13,0,1,1,80,0,9
1985,PG,relationship,19510.0,04-09-2013,63,0,0,2,30,0,6
1976,PG,Single,30992.0,22-04-2013,83,0,0,1,43,0,5
1983,PG,Single,101970.0,12-03-2013,69,0,1,0,1135,3,27
1965,PG,relationship,71488.0,18-02-2013,87,0,0,0,559,0,16
1953,PG,relationship,54348.0,08-06-2014,51,0,0,2,90,0,8
1961,PG,relationship,52247.25135379061,11-07-2013,23,0,0,1,404,0,17
1956,PG,relationship,77376.0,10-05-2014,72,0,0,2,661,0,23
1952,PG,relationship,62998.0,30-09-2013,10,0,0,1,463,0,19
1958,PG,Single,61331.0,10-03-2013,42,0,0,2,632,0,23
1969,PG,relationship,73448.0,10-02-2014,10,0,0,0,725,0,19
1963,PG,relationship,52247.25135379061,11-08-2013,96,0,0,1,725,0,19
1964,PG,relationship,41551.0,14-08-2013,51,0,0,2,279,0,16
1967,PG,relationship,62981.0,17-03-2013,21,0,0,0,1482,1,23
1976,UG,Single,9548.0,08-08-2012,31,0,0,1,29,0,6
1959,PG,relationship,33762.0,07-07-2013,61,0,0,3,106,0,9
1973,PG,Single,35860.0,19-05-2014,37,0,1,2,49,1,6
1965,PG,Single,36921.0,28-07-2013,74,0,0,2,38,0,7
1976,PG,relationship,65104.0,14-11-2013,4,0,1,1,1053,0,17
1962,PG,relationship,86111.0,19-04-2013,73,0,0,0,1385,0,23
1974,PG,Single,68352.0,28-08-2013,47,0,0,1,871,0,25
1988,PG,relationship,41883.0,19-03-2013,13,0,0,1,312,0,12
1976,PG,relationship,59809.0,18-10-2012,36,0,0,2,877,0,15
1975,PG,relationship,23957.0,28-10-2012,47,0,1,1,68,0,6
1981,PG,relationship,38547.0,28-08-2013,49,1,0,1,22,0,4
1973,PG,relationship,35688.0,22-08-2012,94,0,0,3,211,0,16
1966,PG,relationship,49605.0,21-06-2014,65,0,0,0,127,0,8
1953,PG,relationship,59354.0,24-04-2014,59,0,0,2,459,0,16
1969,PG,relationship,65747.0,07-03-2014,96,0,0,1,460,1,19
1972,PG,relationship,46344.0,14-12-2012,28,0,0,1,429,0,17
1988,PG,Single,34176.0,12-05-2014,12,0,0,1,89,0,11
1952,PG,relationship,61010.0,09-10-2012,57,0,0,1,1021,0,26
1949,PG,relationship,69372.0,19-02-2013,10,0,1,0,1381,2,21
1958,PG,Single,49967.0,08-07-2013,4,0,0,1,306,0,15
1978,PG,Single,60199.0,12-09-2013,49,0,0,3,18,0,4
1977,PG,relationship,55375.0,17-10-2013,3,0,0,1,162,0,9
1955,PG,Single,80317.0,20-08-2013,64,0,0,0,1231,0,18
1958,PG,Single,30523.0,01-07-2013,0,0,0,3,13,0,4
1984,PG,relationship,23228.0,05-01-2014,91,0,0,1,121,0,11
1975,PG,Single,74165.0,01-05-2013,9,0,0,0,1293,0,20
1973,PG,relationship,157243.0,01-03-2014,98,0,0,1,1608,0,37
1966,PG,relationship,43482.0,13-11-2013,83,0,0,3,88,0,9
1953,PG,Single,62551.0,18-11-2013,27,0,0,0,421,1,18
1959,PG,Single,52332.0,28-08-2013,63,0,0,0,259,1,12
1988,PG,Single,66951.0,02-11-2013,46,0,0,0,1117,0,15
1957,PG,relationship,26091.0,25-02-2014,84,0,0,2,89,0,9
1965,PG,relationship,33456.0,21-04-2014,58,0,0,2,36,0,6
1982,PG,relationship,28718.0,13-07-2013,78,0,0,1,57,0,7
1970,PG,relationship,50447.0,21-04-2014,4,0,0,2,148,0,8
1959,PG,relationship,53537.0,30-01-2014,17,0,0,2,93,0,8
1967,PG,Single,52074.0,04-04-2014,77,0,0,1,119,1,7
1948,PG,relationship,83837.0,16-12-2012,79,0,1,0,1318,2,25
1970,PG,relationship,38853.0,23-05-2014,90,0,0,2,45,0,7
1959,PG,relationship,38285.0,24-06-2014,96,0,0,3,10,0,4
1951,PG,relationship,78497.0,01-12-2013,44,0,0,0,978,1,25
1976,PG,relationship,51650.0,11-05-2014,81,0,0,1,191,0,10
1988,PG,relationship,16248.0,10-05-2014,77,0,0,1,57,0,9
1946,PG,relationship,66835.0,28-09-2013,21,0,0,0,1033,0,24
1984,PG,relationship,30477.0,22-01-2014,16,0,0,1,66,0,6
1961,UG,relationship,28249.0,15-06-2014,80,0,0,0,43,0,6
1983,PG,relationship,25271.0,05-12-2012,45,0,0,1,50,0,5
1970,PG,Single,32303.0,08-03-2014,63,0,0,1,39,0,7
1966,PG,relationship,61286.0,02-08-2013,34,0,0,1,608,0,18
1976,PG,relationship,74068.0,19-03-2013,14,0,0,0,1581,0,24
1964,PG,relationship,45759.0,23-02-2013,13,0,0,2,68,0,7
1978,UG,relationship,24882.0,09-09-2012,52,0,0,1,80,1,5
1989,PG,relationship,66973.0,17-05-2013,98,0,0,0,1282,0,28
1988,PG,relationship,38872.0,30-05-2013,93,0,0,1,91,0,8
1973,PG,relationship,51148.0,18-02-2013,38,0,0,2,315,0,16
1977,PG,relationship,31353.0,29-12-2013,24,0,0,2,31,0,6
1980,PG,relationship,69661.0,13-05-2014,80,0,0,0,834,0,23
1954,PG,relationship,80067.0,19-09-2013,82,0,0,0,1600,1,17
1954,PG,relationship,86718.0,17-01-2013,20,0,0,0,1270,0,17
1973,PG,Single,46854.0,31-03-2014,81,0,1,2,263,1,15
1952,PG,Single,69142.0,29-06-2014,50,0,0,1,535,1,19
1968,PG,Single,75922.0,09-12-2013,60,0,0,0,1295,0,18
1978,PG,Single,63693.0,14-10-2013,63,0,0,1,1150,0,29
1977,PG,relationship,102160.0,02-11-2012,54,0,1,0,1240,3,26
1965,PG,Single,40637.0,17-07-2013,72,0,0,2,38,0,6
1984,PG,Single,18890.0,10-11-2012,5,0,1,0,35,1,4
1988,PG,relationship,29604.0,08-12-2013,88,0,0,1,53,1,5
1963,PG,Single,48721.0,13-05-2013,50,0,0,2,293,0,17
1966,PG,relationship,44794.0,08-06-2014,99,0,0,1,65,0,6
1956,PG,relationship,46097.0,31-03-2013,11,0,0,1,241,0,15
1954,PG,relationship,77972.0,18-03-2014,18,0,0,0,1101,0,20
1968,PG,relationship,44377.0,05-10-2012,70,0,0,2,264,0,19
1974,PG,relationship,46014.0,21-01-2013,21,0,0,2,541,0,26
1985,PG,relationship,70951.0,04-05-2013,66,0,0,0,1198,0,17
1977,PG,relationship,41443.0,01-04-2014,79,0,0,1,482,0,20
1978,PG,Single,52195.0,12-05-2014,2,0,0,3,17,0,4
1948,PG,relationship,83790.0,15-11-2013,81,0,0,0,1615,2,25
1954,PG,Single,44551.0,31-08-2013,24,0,0,1,285,0,12
1980,PG,relationship,69508.0,14-11-2012,48,0,0,1,1135,0,28
1988,PG,relationship,45204.0,11-04-2014,93,0,0,1,114,0,7
1969,PG,relationship,72460.0,14-11-2013,56,0,0,0,1047,0,16
1970,PG,relationship,77622.0,14-04-2014,3,0,0,2,714,0,22
1980,PG,relationship,30732.0,05-01-2013,44,0,0,1,185,0,13
1962,PG,Single,63887.0,08-09-2012,38,0,0,1,1245,0,32
1978,PG,relationship,42011.0,26-03-2013,46,0,0,1,189,0,12
1976,PG,relationship,51369.0,25-10-2012,84,0,0,1,576,0,16
1952,PG,Single,51537.0,09-12-2012,27,0,0,1,1103,0,18
1986,PG,relationship,34320.0,16-02-2014,66,0,0,1,17,0,4
1966,PG,Single,37070.0,20-03-2013,30,0,1,2,433,0,23
1962,PG,Single,81975.0,05-01-2013,2,0,0,1,1588,1,14
1971,PG,relationship,38590.0,15-05-2013,65,0,0,1,22,0,4
1951,PG,Single,15033.0,16-04-2014,37,0,0,0,19,0,5
1965,PG,relationship,62745.0,23-03-2013,89,0,0,1,1117,0,29
1975,PG,relationship,22212.0,09-12-2013,49,0,0,1,69,0,8
1982,PG,relationship,23661.0,04-12-2013,46,0,0,1,23,0,5
1958,PG,Single,79761.0,04-10-2013,32,0,0,1,605,0,19
1973,PG,Single,7500.0,26-12-2013,54,0,0,1,57,0,11
1958,PG,relationship,64961.0,23-12-2012,97,0,0,1,1009,0,16
1971,PG,Single,22804.0,31-07-2013,75,0,0,1,26,0,5
1990,PG,relationship,73687.0,28-11-2013,8,0,1,0,1627,1,22
1958,PG,relationship,61074.0,17-08-2012,37,0,0,1,1102,0,31
1964,PG,relationship,31686.0,05-06-2014,31,0,0,2,17,0,6
1972,PG,relationship,80134.0,20-05-2013,40,0,1,1,1690,3,16
1953,PG,relationship,75027.0,09-01-2013,74,0,0,1,1390,0,21
1969,PG,relationship,65176.0,29-10-2012,57,0,0,1,1531,0,25
1975,PG,Single,31160.0,16-09-2013,59,0,0,1,64,0,7
1985,PG,Single,29938.0,27-10-2013,52,0,0,1,26,0,6
1974,PG,Single,102692.0,05-04-2013,5,0,1,0,1112,4,29
1958,PG,relationship,26490.0,22-09-2012,92,0,0,0,210,0,11
1967,PG,relationship,75702.0,29-08-2012,77,0,0,2,1148,0,26
1974,PG,Single,30899.0,13-10-2012,35,0,0,1,33,0,6
1961,PG,relationship,63342.0,16-10-2012,48,0,0,1,1101,1,19
1964,PG,Single,45989.0,22-10-2012,97,0,0,1,322,0,16
1964,PG,Single,18701.0,04-06-2013,95,0,0,2,44,0,10
1957,PG,Single,40737.0,08-12-2013,24,0,0,3,17,0,4
1979,PG,Single,15287.0,10-10-2012,60,0,1,1,31,1,6
1968,PG,Single,69674.0,22-05-2013,46,0,0,2,845,0,25
1970,PG,relationship,44159.0,17-06-2014,85,0,0,1,275,0,15
1978,PG,relationship,37717.0,23-11-2012,31,0,0,1,25,0,4
1952,PG,relationship,43776.0,03-02-2013,9,0,1,2,275,0,17
1966,PG,relationship,38179.0,14-03-2013,30,0,0,2,90,0,11
1963,PG,relationship,80124.0,26-06-2014,47,0,0,0,1495,1,19
1970,PG,relationship,38097.0,15-10-2012,70,0,1,2,184,1,11
1970,PG,relationship,72940.0,19-06-2013,13,0,0,0,981,0,13
1970,PG,relationship,22070.0,04-10-2013,11,0,0,1,67,0,8
1953,PG,Single,69267.0,22-09-2012,31,0,1,0,1635,0,14
1983,PG,Single,31788.0,20-03-2014,15,1,0,1,60,0,10
1975,PG,relationship,61905.0,04-02-2014,2,0,0,1,231,0,12
1960,PG,relationship,29315.0,06-04-2014,55,0,0,2,48,0,10
1963,PG,Single,33378.0,06-02-2013,38,0,0,2,99,0,9
1963,PG,relationship,66313.0,16-09-2013,86,0,0,1,770,0,23
1956,PG,Single,60714.0,17-01-2013,56,0,1,0,957,0,23
1981,PG,relationship,77882.0,30-04-2014,29,0,0,0,818,0,12
1986,PG,Single,69867.0,02-04-2013,30,0,1,0,925,1,17
1968,PG,Single,63841.0,21-04-2013,64,0,0,1,908,0,22
1981,UG,relationship,24480.0,11-02-2013,46,0,0,1,102,0,10
1976,PG,relationship,51369.0,25-10-2012,84,0,0,1,576,0,16
1946,PG,relationship,37760.0,31-08-2012,20,0,0,0,317,0,13
1974,PG,relationship,65640.0,01-03-2014,74,0,0,1,461,0,15
1975,PG,relationship,44319.0,17-04-2014,18,0,0,2,37,0,7
1974,PG,relationship,30631.0,12-07-2013,75,0,0,1,70,0,7
1952,PG,relationship,75278.0,29-01-2013,17,0,0,0,930,0,23
1956,PG,relationship,50898.0,08-01-2013,88,0,0,2,859,0,33
1966,PG,Single,79946.0,12-05-2014,19,0,0,0,1478,0,22
1949,PG,Single,35416.0,13-06-2013,62,0,0,0,390,0,16
1984,PG,relationship,32414.0,04-07-2013,11,0,0,0,52,1,5
1969,PG,relationship,38361.0,27-12-2013,74,0,0,1,137,0,10
1971,PG,relationship,16626.0,15-01-2014,76,0,0,2,68,0,9
1965,PG,relationship,29672.0,12-03-2013,6,0,0,2,25,0,4
1952,PG,relationship,55951.0,23-08-2012,62,0,0,1,1374,2,23
1988,PG,Single,35388.0,07-03-2013,20,0,0,1,32,0,5
1986,PG,relationship,42386.0,13-01-2013,43,0,0,1,100,0,7
1982,PG,Single,68627.0,12-01-2013,45,0,0,0,825,0,12
1965,PG,Single,57912.0,17-03-2014,34,0,0,1,916,1,28
1958,PG,Single,35246.0,16-04-2014,53,0,0,2,62,0,11
1956,PG,relationship,58821.0,12-10-2013,44,0,0,1,728,0,21
1978,PG,relationship,46377.0,01-03-2014,89,0,0,1,90,0,7
1988,PG,Single,39747.0,13-04-2014,43,0,0,1,273,0,13
1984,PG,relationship,23976.0,27-12-2013,68,0,0,1,66,0,10
1961,PG,relationship,80950.0,28-03-2013,44,0,0,0,1213,1,23
1966,PG,Single,27038.0,18-09-2012,64,0,1,0,107,0,7
1947,PG,Single,77457.0,05-03-2014,85,0,0,0,1157,1,18
1964,PG,relationship,64100.0,10-09-2013,93,0,0,1,546,1,18
1992,PG,relationship,42670.0,27-04-2013,12,0,0,0,241,0,11
1976,PG,Single,12571.0,18-01-2014,86,0,0,1,53,0,11
1967,PG,relationship,22574.0,28-10-2013,28,0,0,3,37,0,7
1989,PG,relationship,52247.25135379061,03-06-2013,69,0,0,0,1611,2,24
1976,PG,Single,70893.0,06-02-2013,42,0,0,0,1508,0,23
1966,PG,relationship,54198.0,17-12-2013,13,0,0,2,235,0,16
1956,PG,relationship,28839.0,11-03-2014,86,0,0,2,32,0,7
1972,PG,relationship,40321.0,29-07-2013,59,0,0,2,102,0,8
1985,PG,Single,66503.0,14-08-2012,30,0,0,1,401,0,15
1951,PG,relationship,30833.0,16-07-2013,33,0,0,2,28,0,6
1970,PG,Single,52247.25135379061,23-08-2013,67,0,0,3,1052,2,21
1971,PG,relationship,64795.0,17-01-2013,23,0,0,1,680,0,21
1974,PG,relationship,34421.0,01-07-2013,81,0,0,1,30,0,4
1965,PG,Single,47025.0,09-02-2014,6,0,0,2,20,0,4
1961,PG,Single,64325.0,07-02-2013,41,0,0,1,1307,0,23
1953,PG,Single,40464.0,11-01-2013,78,0,0,1,630,0,24
1957,PG,relationship,62187.0,05-07-2013,49,0,0,0,1283,0,18
1976,PG,Single,14849.0,02-07-2013,39,0,0,1,65,0,9
1984,PG,relationship,27255.0,07-11-2013,3,0,0,1,37,0,5
1950,PG,relationship,54432.0,09-05-2013,37,0,0,3,38,0,5
1986,PG,Single,29999.0,13-02-2013,22,0,0,1,160,0,12
1983,PG,Single,24072.0,16-04-2013,79,0,0,1,23,0,4
1989,PG,Single,33996.0,11-09-2013,46,0,0,0,71,0,6
1956,PG,relationship,66334.0,03-04-2013,82,0,1,1,1161,0,19
1971,PG,relationship,35178.0,10-01-2013,10,0,1,1,59,1,5
1983,PG,relationship,22010.0,30-06-2013,51,0,0,1,33,0,7
1960,PG,Single,62204.0,12-09-2012,38,0,0,2,946,0,22
1968,PG,Single,75693.0,06-12-2012,10,0,1,0,1442,3,22
1972,PG,relationship,30675.0,12-11-2012,14,0,0,1,62,0,5
1965,PG,relationship,83003.0,03-03-2013,18,0,1,0,1674,1,22
1988,PG,Single,68655.0,10-08-2012,95,0,0,0,1538,0,21
1986,PG,Single,41411.0,07-12-2013,11,0,0,0,139,0,8
1969,PG,relationship,55212.0,23-11-2012,65,0,0,1,1182,2,20
1950,PG,relationship,59292.0,13-06-2013,71,0,0,1,507,0,18
1973,UG,relationship,27190.0,15-08-2013,13,0,1,1,18,1,4
1952,PG,Single,82623.0,10-11-2013,58,0,0,0,940,0,16
1965,PG,relationship,44300.0,23-06-2013,65,0,0,2,42,0,6
1970,PG,Single,84835.0,16-06-2014,0,0,1,0,1190,0,15
1971,PG,Single,30372.0,25-12-2012,33,0,0,2,44,0,8
1976,PG,relationship,33181.0,03-01-2014,90,0,0,1,16,1,4
1957,PG,relationship,71113.0,17-12-2013,95,0,0,1,835,0,26
1986,PG,relationship,71952.0,10-01-2013,93,0,0,1,1443,2,22
1966,PG,Single,69759.0,28-10-2013,38,0,1,0,1029,0,18
1974,PG,relationship,72099.0,27-10-2012,18,0,0,0,1188,0,18
1976,PG,Single,60000.0,22-12-2012,57,0,0,1,1277,0,24
1978,PG,Single,38643.0,29-11-2013,45,1,0,2,49,0,7
1955,PG,relationship,50737.0,11-05-2013,61,0,0,1,99,1,7
1969,PG,relationship,68462.0,12-12-2012,6,0,0,0,1670,0,15
1943,PG,relationship,65073.0,20-08-2013,65,1,0,0,900,0,14
1948,PG,relationship,46681.0,08-10-2013,52,0,0,2,425,0,16
1969,PG,Single,62187.0,22-03-2014,38,0,0,1,636,0,21
1978,PG,relationship,28442.0,24-02-2014,53,0,0,2,57,0,10
1978,PG,relationship,37717.0,23-11-2012,31,0,0,1,25,0,4
1967,PG,relationship,51479.0,28-12-2012,67,0,0,2,494,0,22
1969,PG,Single,54803.0,21-08-2012,65,0,0,1,693,0,19
1960,PG,relationship,79530.0,17-05-2013,64,0,0,0,1348,0,26
1976,PG,Single,31615.0,16-03-2013,82,0,0,1,51,0,7
1975,PG,Single,52614.0,01-12-2012,63,0,0,1,990,0,16
1984,PG,relationship,35684.0,22-04-2014,66,0,0,1,30,0,5
1975,PG,relationship,48178.0,28-10-2012,69,0,0,2,254,0,16
1970,PG,Single,29548.0,29-08-2013,52,0,0,1,29,1,5
1966,PG,Single,63810.0,11-11-2012,45,0,0,1,1371,1,23
1972,PG,Single,38578.0,22-06-2013,2,0,1,2,73,0,9
1975,PG,Single,46098.0,18-08-2012,86,0,0,2,120,0,11
1970,PG,Single,22585.0,18-03-2013,23,0,1,0,81,1,5
1989,PG,Single,30279.0,30-12-2012,13,0,0,1,37,0,5
1961,PG,relationship,66426.0,02-10-2013,14,0,0,1,1377,0,20
1969,PG,Single,30822.0,14-06-2013,92,0,0,1,51,0,5
1969,PG,relationship,33581.0,08-01-2013,38,0,0,2,17,0,4
1985,PG,relationship,19986.0,14-11-2013,74,0,0,1,22,0,4
1954,PG,Single,27421.0,12-12-2012,14,0,0,0,324,0,14
1973,PG,relationship,35688.0,22-08-2012,94,0,0,3,211,0,16
1981,PG,Single,36143.0,30-03-2014,33,0,0,1,19,0,4
1971,PG,Single,10245.0,15-05-2013,32,0,0,1,41,0,8
1968,PG,relationship,43795.0,16-10-2013,11,0,1,1,492,1,17
1960,PG,relationship,63381.0,05-10-2012,78,0,0,1,1005,0,26
1949,PG,relationship,38823.0,30-08-2012,56,0,0,1,114,0,7
1968,PG,Single,83664.0,08-05-2013,57,0,0,2,1173,0,19
1979,PG,relationship,62499.0,09-12-2013,0,0,0,1,222,0,12
1993,PG,Single,74293.0,04-05-2014,66,0,0,0,1127,0,16
1946,PG,relationship,51012.0,18-04-2013,86,0,0,0,209,0,10
1968,PG,relationship,70777.0,25-02-2014,80,0,0,1,787,0,23
1991,PG,relationship,68682.0,06-10-2013,56,0,0,0,1598,0,24
1971,PG,relationship,43824.0,15-09-2012,18,0,0,2,186,0,12
1984,PG,relationship,15345.0,31-08-2012,51,0,1,1,47,0,6
1987,PG,Single,23442.0,24-12-2012,71,0,0,1,27,0,5
1980,PG,relationship,14515.0,09-11-2012,71,0,1,1,96,0,11
1956,PG,Single,31395.0,23-03-2013,80,0,0,2,64,0,10
1965,PG,relationship,75276.0,27-09-2012,2,0,0,0,1040,0,23
1974,PG,Single,42373.0,15-08-2013,83,0,0,2,163,0,13
1960,PG,relationship,30507.0,11-03-2013,29,0,0,0,343,0,11
1955,PG,Single,55521.0,22-10-2013,11,0,1,3,446,1,24
1965,PG,relationship,48006.0,09-06-2014,55,0,0,2,41,0,5
1972,PG,Single,27213.0,30-08-2012,19,0,1,1,70,0,9
